State,District,Usage
Mizoram,AIZAWL,0.28
Mizoram,LUNGLEI,0.05
Mizoram,CHAMPHAI,0.04
Mizoram,LAWNGTLAI,0.03
Mizoram,KOLASIB,0.03
Mizoram,Others,0.03
Nagaland,DIMAPUR,0.17
Nagaland,KOHIMA,0.1
Nagaland,MON,0.02
Nagaland,WOKHA,0.02
Nagaland,MOKOKCHUNG,0.02
Nagaland,Others,0.03
Odisha,KHORDA,1.26
Odisha,BALESWAR,0.82
Odisha,CUTTACK,0.75
Odisha,GANJAM,0.67
Odisha,MAYURBHANJ,0.52
Odisha,Others,5.34
Pondicherry,PONDICHERRY,0.89
Pondicherry,KARAIKAL,0.16
Pondicherry,MAHE,0.01
Punjab,LUDHIANA,1.59
Punjab,AMRITSAR,0.93
Punjab,JALANDHAR,0.84
Punjab,GURDASPUR,0.7
Punjab,RUPNAGAR,0.65
Punjab,Others,3.81
Rajasthan,JAIPUR,1.99
Rajasthan,ALWAR,0.77
Rajasthan,DAUSA,0.59
Rajasthan,JODHPUR,0.56
Rajasthan,UDAIPUR,0.41
Rajasthan,Others,4.67
Sikkim,EAST SIKKIM,0.19
Sikkim,WEST SIKKIM,0.05
Sikkim,SOUTH SIKKIM,0.04
Sikkim,NORTH SIKKIM,0.01
Tamil Nadu,COIMBATORE,5.12
Tamil Nadu,KANCHIPURAM,4.64
Tamil Nadu,TIRUVALLUR,3.66
Tamil Nadu,CHENNAI,3.35
Tamil Nadu,VELLORE,2.67
Tamil Nadu,Others,31.63
Telangana,HYDERABAD,3.71
Telangana,RANGA REDDY,1.94
Telangana,KARIM NAGAR,0.86
Telangana,MEDAK,0.83
Telangana,WARANGAL,0.62
Telangana,Others,2.35
Tripura,WEST TRIPURA,0.45
Tripura,NORTH TRIPURA,0.14
Tripura,SOUTH TRIPURA,0.1
Tripura,DHALAI,0.04
Uttar Pradesh,LUCKNOW,2.21
Uttar Pradesh,GHAZIABAD,1.81
Uttar Pradesh,GAUTAM BUDDHA NAGAR,1.77
Uttar Pradesh,VARANASI,1.17
Uttar Pradesh,ALLAHABAD,1.12
Uttar Pradesh,Others,20.82
Uttarakhand,DEHRADUN,1.07
Uttarakhand,HARIDWAR,0.66
Uttarakhand,UDHAM SINGH NAGAR,0.63
Uttarakhand,NAINITAL,0.37
Uttarakhand,ALMORA,0.16
Uttarakhand,Others,0.6
West Bengal,KOLKATA,2.93
West Bengal,NORTH 24 PARGANAS,2.66
West Bengal,BARDHAMAN,1.56
West Bengal,SOUTH 24 PARGANAS,1.45
West Bengal,HOWRAH,1.34
West Bengal,Others,8.65
Others*,Others,1.37
Total,,320.41
