id,pin,age,gender,marital_status,city,state,residence_ownership,target_income,device_model,device_category,platform,device_manufacturer
LOA-BDZAP5VY,176041,23.0,MALE, ,Hamirpur,Himachal Pradesh,,17780.0,RMX3612,SMART PHONE,ANDROID,realme
LOA-G8RANRQZ,574265,27.0,MALE, ,Dakshina Kannada,Karnataka,,33269.5,,,,
LOA-52L1NBKV,452009,34.0,MALE, ,Indore,Madhya Pradesh,SELF-OWNED,60000.0,V2303,SMART PHONE,ANDROID,vivo
LOA-NSQ9HXG8,273001,43.0,MALE, ,India,Uttar Pradesh,,78141.0,SM-A217F,SMART PHONE,ANDROID,samsung
LOA-YUQZ66PL,721140,32.0,MALE, ,Paschim Medinipur,West Bengal,,15682.0,SM-J600G,SMART PHONE,ANDROID,samsung
YB7UUD6T,400058,25.0,MALE, ,Mumbai Suburban,Maharashtra,,21918.5,CPH2487,SMART PHONE,ANDROID,oneplus
LOA-HJZHEG77,504215,39.0,MALE, ,ADILABAD,Andhra Pradesh,SELF-OWNED,70150.0,CPH2531,SMART PHONE,ANDROID,oppo
LOA-AL723CP2,110045,30.0,MALE, ,NEW DELHI,Delhi,,19262.0,SM-G990E,SMART PHONE,ANDROID,samsung
LOA-PVB6JQCT,829104,36.0,MALE, ,Phusro,Jharkhand,RENTED,107644.5,,,,
LOA-C3U4G421,562107,23.0,MALE, ,Aatibele,Karnataka,,17994.0,SM-A146B/DS,SMART PHONE,ANDROID,samsung
LOA-S4F5P7G5,110057,35.0,MALE, ,Delhi,Delhi,,20549.0,CPH2477,SMART PHONE,ANDROID,oppo
LOA-PFLKP44T,400084,31.0,FEMALE, ,Mumbai,Maharashtra,,17774.5,,,,
LOA-VBUXKLXT,756044,39.0,, ,Baleshwar,Odisha,,37804.0,CPH2505,SMART PHONE,ANDROID,oppo
LOA-7TZAY9MU,821305,24.0,MALE, ,Pardi,Bihar,SELF-OWNED,20854.0,1907,SMART PHONE,ANDROID,vivo
LOA-T4QX99SM,272190,42.0,MALE, ,Basti,Uttar Pradesh,SELF-OWNED,86830.0,,,,
LOA-TG4FNZ38,410512,38.0,, ,Pune,Maharashtra,,15055.5,1933,SMART PHONE,ANDROID,vivo
LOA-E1SFYHSS,575004,32.0,MALE, ,Mangalore,Karnataka,,26490.0,Moto E7 Power,SMART PHONE,ANDROID,motorola
LOA-M9J7P5RA,721446,22.0,MALE, ,East Midnapore,West Bengal,RENTED,13590.0,M2007J20CI,SMART PHONE,ANDROID,xiaomi
LOA-UBYSRP77,393001,28.0,MALE, ,Bharuch,Gujarat,SELF-OWNED,16446.5,V2307,SMART PHONE,ANDROID,vivo
LOA-YV5QRLE6,245408,25.0,MALE, ,Bulandshahr,UTTAR PRADESH,SELF-OWNED,16758.0,CPH2477,SMART PHONE,ANDROID,oppo
LOA-RYYNUB82,396170,41.0,MALE, ,Valsad,Gujarat,,18315.5,SM-F127G/DS,SMART PHONE,ANDROID,samsung
LOA-JEGJXR5N,700034,28.0,FEMALE, ,Kolkata,West Bengal,SELF-OWNED,19644.0,SM-A156E/DSN,SMART PHONE,ANDROID,samsung
LOA-M7TXA41L,560076,28.0,MALE, ,Bangalore,Karnataka,SELF-OWNED,51602.0,,,,
LOA-DSXDPLXR,370601,26.0,, ,Kachchh,Gujarat,,13515.0,,,,
LOA-NS1LECAA,382845,47.0,MALE, ,Gandhinagar,Gujarat,,36130.0,RMX3741,SMART PHONE,ANDROID,realme
LOA-6NV1SKH3,500023,22.0,MALE, ,Hyderabad,Telangana,,13754.0,,,,
LOA-KNNHLFP4,400612,41.0,MALE, ,Thane,Maharashtra,,14252.0,V2205,SMART PHONE,ANDROID,vivo
LOA-7YZU48FQ,143416,35.0,MALE, ,Patti,Punjab,,25897.0,M2003J15SC,SMART PHONE,ANDROID,xiaomi
LOA-62F5BSZG,606105,39.0,MALE, ,VRIDDHACHALAM,Tamil Nadu,,31414.0,SM-A057F,SMART PHONE,ANDROID,samsung
LOA-K8HCTJ3A,502319,21.0,MALE, ,Sangareddy,Telangana,,21100.0,RMX2151,SMART PHONE,ANDROID,realme
LOA-ARYC4T34,756114,28.0,MALE, ,Bhadrak,Odisha,RENTED,14439.0,CPH2373,SMART PHONE,ANDROID,oppo
LOA-ALT5KUKL,421001,22.0,MALE, ,Thane,Maharashtra,,14191.0,2312DRA50I,SMART PHONE,ANDROID,xiaomi
LOA-31Z8JPYP,311001,27.0,MALE, ,Bhilwara,Rajasthan,SELF-OWNED,41773.5,V2307,SMART PHONE,ANDROID,vivo
LOA-RPK87JY5,770036,27.0,MALE, ,Sundargarh,Odisha,SELF-OWNED,24362.5,A063,SMART PHONE,ANDROID,nothing
LOA-KV55NHZZ,531077,55.0,MALE, ,Visakhapatnam,Andhra Pradesh,,79835.0,RMX3231,SMART PHONE,ANDROID,realme
LOA-DRHPYVVL,577127,30.0,FEMALE, ,Chickmagalore ,Karnataka,SELF-OWNED,33866.0,1933,SMART PHONE,ANDROID,vivo
LOA-HDXTRQ42,226007,27.0,, ,Lucknow,Uttar Pradesh,,25839.5,SM-A305F,SMART PHONE,ANDROID,samsung
LOA-D79XRG1Y,384170,39.0,MALE, ,Unjha,Gujarat,,18375.0,SM-A146B/DS,SMART PHONE,ANDROID,samsung
LOA-37R4R6VB,142001,40.0,MALE, ,Moga,Punjab,,25314.0,CPH2599,SMART PHONE,ANDROID,oppo
LOA-1VYNSTY6,752019,28.0,MALE, ,Puri,Odisha,,28000.0,,,,
LQY7HT51,638001,33.0,FEMALE, ,Erode,Tamil Nadu,,51000.0,CPH2495,SMART PHONE,ANDROID,oppo
LQY7HT51,638001,33.0,FEMALE, ,Erode,Tamil Nadu,,51000.0,V2065,SMART PHONE,ANDROID,vivo
LOA-XJU1MK34,411027,37.0,MALE, ,Pune,Maharashtra,,42462.5,M2101K6P,SMART PHONE,ANDROID,xiaomi
LOA-QQ9T75SX,462001,22.0,, ,Bhopal,Madhya Pradesh,,23000.0,RMX3771,SMART PHONE,ANDROID,realme
LOA-XJQCJFFM,321401,32.0,MALE, ,Bharatpur,Rajasthan,,20539.0,CPH2269,SMART PHONE,ANDROID,oppo
LOA-QNCZNUGP,524308,40.0,MALE, ,Nellore,Andhra Pradesh,SELF-OWNED,92217.5,V2055,SMART PHONE,ANDROID,vivo
LOA-YB8H2KVU,400034,23.0,MALE, ,Mumbai,Maharashtra,,27959.5,RMX3471,SMART PHONE,ANDROID,realme
LOA-X47R5R25,827010,26.0,MALE, ,BOKARO,Jharkhand,,34737.33,CPH2617,SMART PHONE,ANDROID,oppo
LOA-HNFSZY2M,122001,39.0,FEMALE, ,Gurgaon,Haryana,RENTED,29077.0,CPH2467,SMART PHONE,ANDROID,oneplus
LOA-9RR176Q5,243001,26.0,MALE, ,BAREILLY,Uttar Pradesh,,13587.0,1901,SMART PHONE,ANDROID,vivo
LOA-XRTSGVC7,688522,48.0,MALE, ,ALAPUZHA,Kerala,,88595.5,,,,
LOA-XX95C71N,524223,26.0,MALE, ,NELLORE,Andhra Pradesh,SELF-OWNED,32453.5,2201116PI,SMART PHONE,ANDROID,xiaomi
LOA-PNXNQV36,110094,24.0,FEMALE, ,North East Delhi,Delhi,,17073.5,1904,SMART PHONE,ANDROID,vivo
LOA-433B3UY5,394430,33.0,MALE, ,Surat,Gujarat,,40600.0,,,,
LOA-GAP4N9Y3,560076,23.0,FEMALE, ,Bangalore,Karnataka,,14282.0,RMX3197,SMART PHONE,ANDROID,realme
LOA-7J84C7UF,520001,44.0,MALE, ,Krishna,Andhra Pradesh,,15000.0,22111317I,SMART PHONE,ANDROID,xiaomi
LOA-V85GQ59C,560029,24.0,MALE, ,BANGALORE,Karnataka,,22076.0,V2246,SMART PHONE,ANDROID,vivo
LOA-1Y8TD1M7,713705,42.0,MALE, ,Durgapur,WEST BENGAL,SELF-OWNED,57374.0,1901,SMART PHONE,ANDROID,vivo
LOA-AAS136S6,600056,24.0,FEMALE, ,KANCHIPURAM,Tamil Nadu,SELF-OWNED,24076.0,V2319,SMART PHONE,ANDROID,vivo
LOA-AAS136S6,600056,24.0,FEMALE, ,KANCHIPURAM,Tamil Nadu,SELF-OWNED,24076.0,1818,SMART PHONE,ANDROID,vivo
LOA-XPM2VVFL,141012,31.0,FEMALE, ,Ludhiana,Punjab,,36940.0,SM-A346E/DSN,SMART PHONE,ANDROID,samsung
LOA-29ZHY8LM,560089,28.0,FEMALE, ,BANGALORE,Karnataka,,12575.5,CPH1955,SMART PHONE,ANDROID,oppo
LOA-29ZHY8LM,560089,28.0,FEMALE, ,BANGALORE,Karnataka,,12575.5,RMX2002,SMART PHONE,ANDROID,realme
LOA-91X5X5NT,600012,29.0,MALE, ,Chennai,Tamil Nadu,,29864.5,,,,
LOA-D9VKHZPC,605008,22.0,MALE, ,Pondicherry,Pondicherry,,38424.0,CPH2325,SMART PHONE,ANDROID,oppo
LOA-3U4AB91H,638110,25.0,MALE, ,Thoranavavi,Tamil Nadu,,20606.5,SM-G973F,SMART PHONE,ANDROID,samsung
LOA-3U4AB91H,638110,25.0,MALE, ,Thoranavavi,Tamil Nadu,,20606.5,Moto G32,SMART PHONE,ANDROID,motorola
LOA-KL7MZQAY,638311,31.0,MALE, ,Padavalkalvai,Tamil Nadu,,21279.0,,,,
LOA-QQTKD11B,560097,30.0,MALE, ,Bangalore ,Karnataka,SELF-OWNED,28350.0,RMX3741,SMART PHONE,ANDROID,realme
LOA-FFV1MM1G,607805,27.0,MALE, ,Cuddalore,Tamil Nadu,,22704.0,,,,
LOA-TXBF3TAZ,421505,40.0,MALE, ,Thane,Maharashtra,RENTED,41297.0,V2318,SMART PHONE,ANDROID,vivo
LOA-2A9AAVJL,281305,28.0,MALE, ,Habibpur Bangar,Uttar Pradesh,,54902.0,22111317I,SMART PHONE,ANDROID,xiaomi
LOA-9H5SFK3G,781371,29.0,MALE, ,Barpeta,Assam,,146887.0,RMX2117,SMART PHONE,ANDROID,realme
LOA-VEAE52UB,341303,35.0,MALE, ,Khunkhuna,Rajasthan,SELF-OWNED,23634.0,V2158,SMART PHONE,ANDROID,vivo
LOA-RYFVEZFP,322202,28.0,MALE, ,Karauli,Rajasthan,,48012.0,CPH2619,SMART PHONE,ANDROID,oneplus
LOA-ZN38P35S,431122,35.0,MALE, ,BEED,Maharashtra,,75483.0,V2040,SMART PHONE,ANDROID,vivo
LOA-E92RGM5X,411028,33.0,MALE, ,Pune,Maharashtra,,78292.0,,,,
LOA-5CBRQSDR,421003,24.0,MALE, ,Ulhasnagar,Maharashtra,,14496.5,,,,
LOA-DBDPFMK9,382110,28.0,MALE, ,Ahmedabad,Gujarat,,14365.0,1901,SMART PHONE,ANDROID,vivo
LOA-6UPK22RB,273303,23.0,MALE, ,Maharajganj,Uttar Pradesh,,47705.0,RMX3840,SMART PHONE,ANDROID,realme
LOA-6UPK22RB,273303,23.0,MALE, ,Maharajganj,Uttar Pradesh,,47705.0,RMX3840,SMART PHONE,ANDROID,realme
LOA-DVU47DB6,624202,25.0,MALE, ,Dindigul,Tamil Nadu,,12210.5,V2025,SMART PHONE,ANDROID,vivo
ANUBHJKL,560037,47.0,MALE, ,Bangalore,Karnataka,RENTED,91218.0,,,,
LOA-X574GU4D,500081,22.0,, ,Hyderabad,Telangana,,41310.0,SM-M136B/DS,SMART PHONE,ANDROID,samsung
LOA-U3FA2ZZ5,620013,24.0,MALE, ,TIRUCHIRAPALLY,Tamil Nadu,,15500.0,,,,
LOA-1XXZ2AYE,835204,33.0,MALE, ,Ranchi,Jharkhand,RENTED,17701.0,23076RN4BI,SMART PHONE,ANDROID,xiaomi
IL9JE89N,843111,36.0,MALE, ,Muzaffarpur,Bihar,SELF-OWNED,50537.0,,,,
LOA-TEB8M9UG,229001,25.0,MALE, ,RAIBAREILLY,Uttar Pradesh,,12438.0,V2401,SMART PHONE,ANDROID,vivo
LOA-TEB8M9UG,229001,25.0,MALE, ,RAIBAREILLY,Uttar Pradesh,,12438.0,2201117SI,SMART PHONE,ANDROID,xiaomi
LOA-4E1TFHB2,797116,33.0,MALE, ,Dimapur,Nagaland,SELF-OWNED,38501.5,A142,SMART PHONE,ANDROID,nothing
LOA-4E1TFHB2,797116,33.0,MALE, ,Dimapur,Nagaland,SELF-OWNED,38501.5,SM-A307FN,SMART PHONE,ANDROID,samsung
LOA-KQQYD4ZS,521230,21.0,MALE, ,,Andhra Pradesh,,23282.0,RMX3686,SMART PHONE,ANDROID,realme
LOA-QCBUPVH8,847233,25.0,MALE, ,OTH,Bihar,,17503.0,CPH2381,SMART PHONE,ANDROID,oneplus
LOA-KTZP3F8K,642204,23.0,MALE, ,Coimbatore,Tamil Nadu,,23978.0,SM-A156E/DSN,SMART PHONE,ANDROID,samsung
5DK853K7,621718,30.0,MALE, ,Sennivanam,Tamil Nadu,SELF-OWNED,22384.5,SM-G615F,SMART PHONE,ANDROID,samsung
LOA-GVAPUFSM,530011,31.0,MALE, ,Visakhapatnam,Andhra Pradesh,SELF-OWNED,44382.0,DN2101,SMART PHONE,ANDROID,oneplus
LOA-DXV4DQEU,333305,24.0,MALE, ,Jhunjhunun,Rajasthan,,17948.5,V2240,SMART PHONE,ANDROID,vivo
LOA-E57TXDEN,577114,23.0,MALE, ,Chickmagalur,Karnataka,RENTED,28360.5,1819,SMART PHONE,ANDROID,vivo
LOA-UBEF9RER,822113,24.0,MALE, ,PALAMU,Jharkhand,,15559.5,RMX3392,SMART PHONE,ANDROID,realme
LOA-SESYD6UD,400033,31.0,MALE, ,Mumbai,Maharashtra,,60000.0,Moto G4,SMART PHONE,ANDROID,motorola
LOA-SESYD6UD,400033,31.0,MALE, ,Mumbai,Maharashtra,,60000.0,M2006C3MII,SMART PHONE,ANDROID,xiaomi
LOA-4M4LR9CB,431401,40.0,MALE, ,Parbhani,Maharashtra,,77498.5,M2004J19PI,SMART PHONE,ANDROID,xiaomi
LOA-55LP1YRN,495001,40.0,MALE, ,BILASPURCGH,Chattisgarh,,25957.0,CPH1911,SMART PHONE,ANDROID,oppo
LOA-SN1YFEXP,673527,39.0,FEMALE, ,Kozhikode,Kerala,,119900.0,RMX3840,SMART PHONE,ANDROID,realme
LOA-AZV7HEUM,841238,31.0,MALE, ,Siwan,Bihar,,17350.0,SM-A236E,SMART PHONE,ANDROID,samsung
LOA-U31PCBN3,410206,30.0,MALE, ,Raigad,Maharashtra,SELF-OWNED,22660.0,CPH2455,SMART PHONE,ANDROID,oppo
LOA-R9UAJ4CB,302033,24.0,MALE, ,Jaipur,Rajasthan,,38382.5,V2132,SMART PHONE,ANDROID,vivo
LOA-R9UAJ4CB,302033,24.0,MALE, ,Jaipur,Rajasthan,,38382.5,V2132,SMART PHONE,ANDROID,vivo
LOA-QZ86YUPJ,670591,29.0,MALE, ,Kannur,Kerala,,43750.0,,,,
LOA-H1GEHYDJ,414502,32.0,MALE, ,Ahmadnagar,Maharashtra,,19337.5,,,,
LOA-KKD6G5JY,500072,31.0,MALE, ,hyderabad,Telangana,,21027.0,,,,
LOA-GXYEMES2,393135,24.0,MALE, ,Bharuch,Gujarat,SELF-OWNED,13611.5,EB2101,SMART PHONE,ANDROID,oneplus
LOA-GXYEMES2,393135,24.0,MALE, ,Bharuch,Gujarat,SELF-OWNED,13611.5,EB2101,SMART PHONE,ANDROID,oneplus
LOA-TYNS3GE3,517432,23.0,MALE, ,Chittoor,Andhra Pradesh,,16314.3,Note 9 Pro,SMART PHONE,ANDROID,xiaomi
LOA-TYNS3GE3,517432,23.0,MALE, ,Chittoor,Andhra Pradesh,,16314.3,Edge 50 Fusion,SMART PHONE,ANDROID,motorola
LOA-C6C3BSDL,534324,33.0,MALE, ,Vadali,Andhra Pradesh,,17104.5,RMX3771,SMART PHONE,ANDROID,realme
LOA-7MFM3RGH,623135,23.0,MALE, ,Ramanathapuram,Tamil Nadu,,23878.0,M2101K6P,SMART PHONE,ANDROID,xiaomi
H3TK3A2J,416609,23.0,MALE, ,Sangave,Maharashtra,,12214.0,CPH2219,SMART PHONE,ANDROID,oppo
H3TK3A2J,416609,23.0,MALE, ,Sangave,Maharashtra,,12214.0,23090RA98I,SMART PHONE,ANDROID,xiaomi
LOA-6351GNB4,562123,37.0,FEMALE, ,Bengaluru Rural,Karnataka,,22427.0,CPH2665,SMART PHONE,ANDROID,oppo
LOA-1TCE4YDU,462036,29.0,MALE, ,Bhopal,Madhya Pradesh,SELF-OWNED,19390.0,,,ANDROID,xiaomi
LOA-1TCE4YDU,462036,29.0,MALE, ,Bhopal,Madhya Pradesh,SELF-OWNED,19390.0,CPH2643,SMART PHONE,ANDROID,oppo
LOA-Y6AM7GEK,414302,33.0,MALE, ,AHMEDNAGAR,Maharashtra,,28000.0,V2250,SMART PHONE,ANDROID,vivo
LOA-URJ3VD36,574219,36.0,MALE, ,DAKSHINAKANNADA,Karnataka,,75012.0,V2303,SMART PHONE,ANDROID,vivo
LOA-HF3MH5ZF,390011,24.0,MALE, ,Vadodara,Gujarat,SELF-OWNED,21391.0,RMX3771,SMART PHONE,ANDROID,realme
LOA-69HUA4MY,133103,22.0,MALE, ,Yamunanagar,Haryana,,27482.0,CPH2239,SMART PHONE,ANDROID,oppo
LOA-TPGUCEY8,577217,33.0,MALE, ,Davangere,Karnataka,,103918.5,,,,
LOA-783MPA2E,522415,27.0,MALE, ,Guntur,Andhra Pradesh,SELF-OWNED,38698.875,CPH2531,SMART PHONE,ANDROID,oppo
LOA-RHU8LMZN,389120,34.0,MALE, ,PANCHMAHALS,Gujarat,,12635.0,23028RN4DI,SMART PHONE,ANDROID,xiaomi
LOA-PTEMQXPR,382260,26.0,MALE, ,Ahmedabad,Gujarat,,14024.5,CPH2139,SMART PHONE,ANDROID,oppo
LOA-T8CRGNP2,508248,28.0,MALE, ,Nalgonda,Telangana,RENTED,18349.06,M2004J19C,SMART PHONE,ANDROID,xiaomi
LOA-T8CRGNP2,508248,28.0,MALE, ,Nalgonda,Telangana,RENTED,18349.06,M2004J19C,SMART PHONE,ANDROID,xiaomi
LOA-CBYRQCXP,389001,24.0,MALE, ,PANCHMAHALS,Gujarat,,21651.5,1935,SMART PHONE,ANDROID,vivo
LOA-MDAN4M23,211011,27.0,MALE, ,Allahabad,Uttar Pradesh,,34877.0,SM-S901E,SMART PHONE,ANDROID,samsung
LOA-T8AAPUJK,607302,25.0,MALE, ,Cuddalore,Tamil Nadu,,28280.5,M2006C3MI,SMART PHONE,ANDROID,xiaomi
LOA-5K6TKBHM,721401,32.0,MALE, ,Contai,West Bengal,,24870.0,cph2487,SMART PHONE,ANDROID,oneplus
LOA-EPS789E7,402305,34.0,MALE, ,Raigad,Maharashtra,,35450.0,2201117SI,SMART PHONE,ANDROID,xiaomi
LOA-ABJYUC8K,400043,23.0,MALE, ,Mumbai Suburban,Maharashtra,,28059.0,V2144,SMART PHONE,ANDROID,vivo
LOA-FQ41XQHA,456006,28.0,MALE, ,UJJAIN,Madhya Pradesh,,45082.0,m2101k7ai,SMART PHONE,ANDROID,xiaomi
1PUK3NN2,621311,32.0,MALE, ,Kulithalai,Tamil Nadu,SELF-OWNED,34011.5,,,,
LOA-MBB182GE,500015,24.0,MALE, ,Hyderabad,Telangana,,29490.5,1935,SMART PHONE,ANDROID,vivo
LOA-L8XBFPCF,361162,30.0,MALE, ,Jamnagar,Gujarat,,28268.5,V2207,SMART PHONE,ANDROID,vivo
LOA-7GQANNVE,560036,40.0,MALE, ,Rajampet,Karnataka,,70321.0,M2006C3MII,SMART PHONE,ANDROID,xiaomi
LOA-8BJP4QAL,580001,26.0,FEMALE, ,Dharwad,Karnataka,SELF-OWNED,30069.0,CPH2487,SMART PHONE,ANDROID,oneplus
LOA-N4JX55QK,207502,29.0,FEMALE, ,Farrukhabad,UTTAR PRADESH,RENTED,96502.0,SM-A235F,SMART PHONE,ANDROID,samsung
LOA-B7PEUVYH,341512,28.0,MALE, ,Nagaur,Rajasthan,,34111.5,v2315,SMART PHONE,ANDROID,vivo
